Model,Temperature,Avg_Step_Count,Avg_Step_Length_Words,Avg_Step_Length_Chars,Avg_Solution_Length,Avg_Step_Complexity
Abel-7B-002,0.0,7.414,28.3876449959536,142.5856487725924,1057.13,2.7000269759913675
Abel-7B-002,0.3,7.414,28.3876449959536,142.5856487725924,1057.13,2.7000269759913675
Abel-7B-002,0.6,7.414,28.3876449959536,142.5856487725924,1057.13,2.7000269759913675
Abel-7B-002,0.8,7.414,28.3876449959536,142.5856487725924,1057.13,2.7000269759913675
Abel-7B-002,1.0,7.414,28.3876449959536,142.5856487725924,1057.13,2.7000269759913675
Abel-7B-002,1.3,7.414,28.3876449959536,142.5856487725924,1057.13,2.7000269759913675
Abel-7B-002,1.6,7.414,28.3876449959536,142.5856487725924,1057.13,2.7000269759913675
Abel-7B-002,1.8,7.408450704225352,28.46523628462792,143.03259098316133,1059.6498993963783,2.703422053231939
Abel-7B-002,2.0,7.408450704225352,28.394079304725693,142.6260184682238,1056.6378269617705,2.7115697990222705
WizardMath-7B-V1.1,0.0,11.516,33.55609586662035,173.88207711010767,2002.426,3.166029871483154
WizardMath-7B-V1.1,0.3,11.516,33.55609586662035,173.88207711010767,2002.426,3.166029871483154
WizardMath-7B-V1.1,0.6,11.516,33.55609586662035,173.88207711010767,2002.426,3.166029871483154
WizardMath-7B-V1.1,0.8,11.516,33.55609586662035,173.88207711010767,2002.426,3.166029871483154
WizardMath-7B-V1.1,1.0,11.516,33.55609586662035,173.88207711010767,2002.426,3.166029871483154
WizardMath-7B-V1.1,1.3,11.516,33.55609586662035,173.88207711010767,2002.426,3.166029871483154
WizardMath-7B-V1.1,1.6,11.516,33.55609586662035,173.88207711010767,2002.426,3.166029871483154
WizardMath-7B-V1.1,1.8,11.513026052104209,33.59460400348129,174.10426457789382,2004.4669338677354,3.168320278503046
WizardMath-7B-V1.1,2.0,11.516,33.55609586662035,173.88207711010767,2002.426,3.166029871483154
