Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-8B,aime,0.1,0.6765356275770399,0.5209852430555556,0.16467251247829862
Qwen3-8B,aime,0.2,0.6550418006049262,0.5089436848958333,0.17824876573350695
Qwen3-8B,aime,0.3,0.6429285049438477,0.5155409071180556,0.18570556640625
Qwen3-8B,aime,0.4,0.6189171897040473,0.5213189019097222,0.20081990559895832
Qwen3-8B,aime,0.5,0.6017879062228733,0.5020426432291667,0.2025841606987847
Qwen3-8B,aime,0.6,0.6032328923543294,0.5249647352430555,0.195587158203125
Qwen3-8B,aime,0.7,0.6226692411634657,0.49995524088541665,0.1774823506673177
Qwen3-8B,aime,0.8,0.597444576687283,0.5064439561631945,0.21497463650173612
Qwen3-8B,aime,0.9,0.5756685150994195,0.5087090386284723,0.20662061903211806
Qwen3-8B,aime,1.0,0.6029329299926758,0.5082180447048611,0.17461412217881944
Qwen3-8B,aime,1.1,0.5869225872887506,0.5070909288194444,0.1820926242404514
Qwen3-8B,aime,1.2,0.5763031853569879,0.4860787285698785,0.2033260769314236
Qwen3-8B,aime,1.3,0.5856630325317382,0.5232598198784723,0.18580237494574653
Qwen3-8B,aime,1.4,0.5468203438652887,0.5167019314236111,0.1776089138454861
Qwen3-8B,aime,1.5,0.5650962405734592,0.5158759223090278,0.19217291937934028
