Model,Best Temperature,Best Shepherd Score,Corresponding Validity,Corresponding Redundancy
Abel-7B-002,1.2,0.2144332038031684,0.2567826588948568,0.3894212510850694
WizardMath-7B-V1.1,0.5,0.2515435368759827,0.1506561183329648,0.2879032159001572
Qwen3-0.6B,0.3,0.1555959065755208,0.5986753251817492,0.4872304280598958
Qwen3-4B,0.8,0.1590783013237847,0.5209523730807835,0.4982245551215278
Qwen3-8B,0.8,0.2149746365017361,0.597444576687283,0.5064439561631945
