Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-32B,aime,0.1,aime,0.2388260735405816,0.45631510416666665,0.22546183268229167
Qwen3-32B,aime,0.2,aime,0.239491695827908,0.45260687934027777,0.24387715657552084
Qwen3-32B,aime,0.3,aime,0.2391348097059462,0.46593153211805555,0.24385952419704862
Qwen3-32B,aime,0.4,aime,0.22591323852539064,0.46683349609375,0.22687852647569445
Qwen3-32B,aime,0.5,aime,0.22731882731119793,0.46243896484375,0.23358629014756943
Qwen3-32B,aime,0.6,aime,0.2294396294487847,0.45211046006944444,0.23189798990885416
Qwen3-32B,aime,0.7,aime,0.21549792819552951,0.4356906467013889,0.2362948947482639
Qwen3-32B,aime,0.8,aime,0.21251212226019967,0.4544216579861111,0.22853563096788193
Qwen3-32B,aime,0.9,aime,0.20992482503255208,0.46884358723958336,0.23350490993923612
Qwen3-32B,aime,1.0,aime,0.22712673611111112,0.4642266167534722,0.2158172607421875
Qwen3-32B,aime,1.1,aime,0.21551225450303818,0.4701809353298611,0.24126959906684028
Qwen3-32B,aime,1.2,aime,0.19373101128472223,0.46732991536458335,0.24603474934895833
Qwen3-32B,aime,1.3,aime,0.1871292961968316,0.4799004448784722,0.2195465087890625
Qwen3-32B,aime,1.4,aime,0.19719916449652777,0.49575737847222223,0.23013339572482638
Qwen3-32B,aime,1.5,aime,0.18345082600911458,0.49164767795138886,0.21778632269965278
