Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-4B,aime,0.1,aime,0.2625698513454861,0.5234836154513889,0.127789306640625
Qwen3-4B,aime,0.2,aime,0.25534803602430556,0.5278211805555556,0.13523457845052084
Qwen3-4B,aime,0.3,aime,0.28125504387749567,0.5217556423611112,0.14080166286892362
Qwen3-4B,aime,0.4,aime,0.26680908203125,0.5325303819444445,0.12584025065104168
Qwen3-4B,aime,0.5,aime,0.25645209418402776,0.5205240885416667,0.14566582573784723
Qwen3-4B,aime,0.6,aime,0.26059417724609374,0.5244873046875,0.13870849609375
Qwen3-4B,aime,0.7,aime,0.262703620062934,0.5343126085069444,0.1496639675564236
Qwen3-4B,aime,0.8,aime,0.24787139892578125,0.5241102430555555,0.15907830132378473
Qwen3-4B,aime,0.9,aime,0.26329896714952256,0.5118408203125,0.14247504340277778
Qwen3-4B,aime,1.0,aime,0.25938440958658854,0.5240288628472223,0.15749884711371528
Qwen3-4B,aime,1.1,aime,0.2474090576171875,0.5261583116319445,0.1527988009982639
Qwen3-4B,aime,1.2,aime,0.2541536119249132,0.5296115451388889,0.14600423177083333
Qwen3-4B,aime,1.3,aime,0.24694586859809028,0.5196994357638889,0.15152214898003472
Qwen3-4B,aime,1.4,aime,0.2534588283962674,0.5033718532986111,0.1522403293185764
Qwen3-4B,aime,1.5,aime,0.25045047336154513,0.5230170355902778,0.1366024441189236
