Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
WizardMath-7B-V1.1,aime,0.1,0.1273914867679015,0.28726944070778143,0.22654875698468543
WizardMath-7B-V1.1,aime,0.2,0.1484194487528084,0.2934131497651144,0.22431137982536764
WizardMath-7B-V1.1,aime,0.3,0.13156696489662123,0.2819388808718153,0.2450732577378583
WizardMath-7B-V1.1,aime,0.4,0.1388855485726666,0.2728619101821192,0.24085503382398593
WizardMath-7B-V1.1,aime,0.5,0.15065611833296483,0.2879032159001572,0.2515435368759827
WizardMath-7B-V1.1,aime,0.6,0.13301784540313522,0.2837176354102839,0.23245618234272875
WizardMath-7B-V1.1,aime,0.7,0.11706628532053154,0.28501478533878505,0.22561103606892524
WizardMath-7B-V1.1,aime,0.8,0.1258570353190104,0.28861219618055556,0.2326265123155382
WizardMath-7B-V1.1,aime,0.9,0.10465295579698351,0.2664098103841146,0.21158981323242188
WizardMath-7B-V1.1,aime,1.0,0.111444091796875,0.27119140625,0.2280379825168186
WizardMath-7B-V1.1,aime,1.1,0.10949910481770833,0.2700870090060764,0.2012632581922743
WizardMath-7B-V1.1,aime,1.2,0.1080351087782118,0.25289120144314237,0.19560360378689237
WizardMath-7B-V1.1,aime,1.3,0.09847776624891492,0.2406346638997396,0.20447777642144097
WizardMath-7B-V1.1,aime,1.4,0.09013974931504991,0.22772606743706597,0.16138848198784722
WizardMath-7B-V1.1,aime,1.5,0.08415637546115451,0.22548387315538193,0.14166327582465277
