Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-30B-A3B,aime,0.1,aime,0.26519368489583334,0.5276882595486111,0.13386942545572916
Qwen3-30B-A3B,aime,0.2,aime,0.26800638834635415,0.5334743923611112,0.13376295301649305
Qwen3-30B-A3B,aime,0.3,aime,0.2824352688259549,0.5191840277777777,0.13041890462239583
Qwen3-30B-A3B,aime,0.4,aime,0.25646837022569446,0.5340928819444445,0.13162027994791667
Qwen3-30B-A3B,aime,0.5,aime,0.2592320760091146,0.5270426432291667,0.1371738009982639
Qwen3-30B-A3B,aime,0.6,aime,0.26796383327907985,0.5291748046875,0.13178609212239584
Qwen3-30B-A3B,aime,0.7,aime,0.2506015353732639,0.5347032335069445,0.12939927842881943
Qwen3-30B-A3B,aime,0.8,aime,0.2530514187282986,0.5391927083333333,0.1350860595703125
Qwen3-30B-A3B,aime,0.9,aime,0.2637652926974826,0.5383409288194444,0.13656141493055557
Qwen3-30B-A3B,aime,1.0,aime,0.2615305582682292,0.5436252170138889,0.13427802191840277
Qwen3-30B-A3B,aime,1.1,aime,0.25772552490234374,0.5230414496527778,0.14338887532552083
Qwen3-30B-A3B,aime,1.2,aime,0.25594524807400176,0.5332790798611111,0.14095933702256944
Qwen3-30B-A3B,aime,1.3,aime,0.2574378119574653,0.5378662109375,0.1320132785373264
Qwen3-30B-A3B,aime,1.4,aime,0.26222669813368055,0.5338460286458333,0.1457248263888889
Qwen3-30B-A3B,aime,1.5,aime,0.24700893825954862,0.5385986328125,0.14372999403211806
