Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-4B,aime,0.1,0.5404873106214735,0.47413872612847224,0.127789306640625
Qwen3-4B,aime,0.2,0.5357446458604601,0.48743760850694445,0.13523457845052084
Qwen3-4B,aime,0.3,0.5475424660576714,0.4922295464409722,0.14080166286892362
Qwen3-4B,aime,0.4,0.596864382425944,0.4771660698784722,0.12584025065104168
Qwen3-4B,aime,0.5,0.5088341818915473,0.47797580295138886,0.14566582573784723
Qwen3-4B,aime,0.6,0.5243936750623915,0.496630859375,0.13870849609375
Qwen3-4B,aime,0.7,0.49065208435058594,0.4929443359375,0.1496639675564236
Qwen3-4B,aime,0.8,0.5209523730807835,0.4982245551215278,0.15907830132378473
Qwen3-4B,aime,0.9,0.5911906560262045,0.47277425130208334,0.14247504340277778
Qwen3-4B,aime,1.0,0.5578731960720487,0.492041015625,0.15749884711371528
Qwen3-4B,aime,1.1,0.547144169277615,0.48162434895833334,0.1527988009982639
Qwen3-4B,aime,1.2,0.5615517722235785,0.4955240885416667,0.14600423177083333
Qwen3-4B,aime,1.3,0.5611586464775933,0.4720309787326389,0.15152214898003472
Qwen3-4B,aime,1.4,0.5385573916965061,0.49332716200086807,0.1522403293185764
Qwen3-4B,aime,1.5,0.5488438076443143,0.4928738064236111,0.1366024441189236
