Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-32B,aime,0.1,aime,0.5237266540527343,0.5262966579861111,0.22546183268229167
Qwen3-32B,aime,0.2,aime,0.49692069159613717,0.53096923828125,0.24387715657552084
Qwen3-32B,aime,0.3,aime,0.4979062928093804,0.5337944878472223,0.24385952419704862
Qwen3-32B,aime,0.4,aime,0.5019917382134331,0.5065036349826388,0.22687852647569445
Qwen3-32B,aime,0.5,aime,0.5000786145528158,0.5431667751736111,0.23358629014756943
Qwen3-32B,aime,0.6,aime,0.548918522728814,0.4941338433159722,0.23189798990885416
Qwen3-32B,aime,0.7,aime,0.5318359163072374,0.48264957004123266,0.2362948947482639
Qwen3-32B,aime,0.8,aime,0.46482585271199545,0.5347425672743056,0.22853563096788193
Qwen3-32B,aime,0.9,aime,0.4587816344367133,0.5152689615885416,0.23350490993923612
Qwen3-32B,aime,1.0,aime,0.44293804168701173,0.5152262369791667,0.2158172607421875
Qwen3-32B,aime,1.1,aime,0.43530215157402885,0.5202867296006944,0.24126959906684028
Qwen3-32B,aime,1.2,aime,0.4351372506883409,0.5073842366536458,0.24603474934895833
Qwen3-32B,aime,1.3,aime,0.38918342590332033,0.5268714057074653,0.2195465087890625
Qwen3-32B,aime,1.4,aime,0.39888910717434356,0.5641465928819445,0.23013339572482638
Qwen3-32B,aime,1.5,aime,0.37346986134847004,0.5598280164930556,0.21778632269965278
