Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-8B,aime,0.1,aime,0.2688807169596354,0.5246039496527778,0.16467251247829862
Qwen3-8B,aime,0.2,aime,0.254569329155816,0.5100762261284723,0.17824876573350695
Qwen3-8B,aime,0.3,aime,0.2663045671251085,0.5197943793402777,0.18570556640625
Qwen3-8B,aime,0.4,aime,0.2421613057454427,0.5059407552083334,0.20081990559895832
Qwen3-8B,aime,0.5,aime,0.26273023817274305,0.5057454427083333,0.2025841606987847
Qwen3-8B,aime,0.6,aime,0.2512395222981771,0.5043706258138021,0.195587158203125
Qwen3-8B,aime,0.7,aime,0.24665840996636285,0.5206882052951389,0.1774823506673177
Qwen3-8B,aime,0.8,aime,0.25064417521158855,0.5029378255208333,0.21497463650173612
Qwen3-8B,aime,0.9,aime,0.24389139811197916,0.5176106770833333,0.20662061903211806
Qwen3-8B,aime,1.0,aime,0.23800048828125,0.5243055555555556,0.17461412217881944
Qwen3-8B,aime,1.1,aime,0.25280643039279516,0.49914686414930554,0.1820926242404514
Qwen3-8B,aime,1.2,aime,0.2518943786621094,0.50361328125,0.2033260769314236
Qwen3-8B,aime,1.3,aime,0.23284250895182293,0.5255913628472222,0.18580237494574653
Qwen3-8B,aime,1.4,aime,0.2453868442111545,0.5041775173611112,0.1776089138454861
Qwen3-8B,aime,1.5,aime,0.22500991821289062,0.5238633897569445,0.19217291937934028
