Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-0.6B,aime,0.1,0.2931204054090712,0.42722303602430556,0.1488555908203125
Qwen3-0.6B,aime,0.2,0.27613922119140627,0.4172062174479167,0.15182301839192708
Qwen3-0.6B,aime,0.3,0.22597681681315104,0.4308837890625,0.15559590657552083
Qwen3-0.6B,aime,0.4,0.26378436618381074,0.4555019802517361,0.14188656277126735
Qwen3-0.6B,aime,0.5,0.24916364881727432,0.4806900872124566,0.13233846028645832
Qwen3-0.6B,aime,0.6,0.23999820285373263,0.4595893012152778,0.14661729600694445
Qwen3-0.6B,aime,0.7,0.22354083591037327,0.5073038736979166,0.12381100124782986
Qwen3-0.6B,aime,0.8,0.21696900261773003,0.5017306857638889,0.12156626383463541
Qwen3-0.6B,aime,0.9,0.19478607177734375,0.4995673285590278,0.12088529798719617
Qwen3-0.6B,aime,1.0,0.19744127061631944,0.5155849880642361,0.11324259440104166
Qwen3-0.6B,aime,1.1,0.2048272026909722,0.5141140407986111,0.11809353298611111
Qwen3-0.6B,aime,1.2,0.18524708218044705,0.48296983506944446,0.11376698811848958
Qwen3-0.6B,aime,1.3,0.18780602349175346,0.5188001844618055,0.10482652452256945
Qwen3-0.6B,aime,1.4,0.1736156463623047,0.5211941189236111,0.094244384765625
Qwen3-0.6B,aime,1.5,0.1671505398220486,0.5200127495659722,0.09254692925347222
